"Sample_ID","Ablabesmyia.longistyla","Ablabesmyia.sp_","Chaetocladius.sp_","Chironomini.sp_","Chironomus.acutiventris","Chironomus.annularius.cingulatus","Chironomus.bernensis","Chironomus.dorsalis","Chironomus.nuditarsis","Chironomus.sp_","Cladopelma.viridula","Cladotanytarsus.sp_","Clinotanypus.nervosus","Conchapelopia.sp_","Corynoneura.sp_","Cricotopus.ornatus","Cricotopus.sp_","Cricotopus.sylvestris.Gr_","Cryptochironomus.sp_","Cryptotendipes.sp_","Diamesa.insignipes","Diamesa.latitarsis.Gr_","Diamesa.zernyi.Gr_","Dicrotendipes.lobiger","Dicrotendipes.nervosus","Dicrotendipes.sp_","Einfeldia.pagana.Gr_","Endochironomus.albipennis","Endochironomus.sp_","Endochironomus.tendens","Eukiefferiella.gracei","Glyptotendipes.glaucus.pallens","Harnischia.sp_","Kiefferulus.tendipediformis","Macropelopia.sp_","Micropsectra.Tanytarsus.sp_","Microtendipes.pedellus","Orthocladiinae.sp_","Orthocladiini.COP","Orthocladius.frigidus","Orthocladius.oblidens","Parachironomus.sp_","Paracladopelma.sp_","Paralauterborniella.nigrohalteralis","Paratanytarsus.austriacus","Paratanytarsus.dissimilis","Paratanytarsus.lauterborni","Paratanytarsus.sp_","Paratendipes.albimanus","Pentaneurini.Gen_.sp_","Phaenopsectra.sp_","Polypedilum.bicrenatum","Polypedilum.cultellatum","Polypedilum.nubeculosum","Polypedilum.scalaenum","Polypedilum.sordens","Polypedilum.sp_","Potthastia.longimana","Procladius.sp_","Prodiamesa.olivacea","Psectrocladius.limbatellus.Gr_","Psectrotanypus.varius","Stempellina.sp_","Stictochironomus.sp_","Tanypodinae.sp_","Tanypus.kraatzi","Tanypus.sp_","Tanytarsini.sp_","Tanytarsus.brundini","Tanytarsus.gibbosiceps","Tanytarsus.lactescens","Tanytarsus.sp_","Tanytarsus.usmaensis","Zavrelimyia.sp_"
"R1_2020",0,732,0,2195,0,0,0,0,0,0,0,8047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5486,0,0,0,0,0,0,0,0,0,0,9876,0,0,0,0,0,1097,0,0,10241,0,0,0,2195,0,0
"R10_2020",0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,366,1097,0,0,0,0,0,0,0
"R11_2020",0,0,0,0,0,0,0,0,0,5852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0
"R12_2020",0,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0
"R13_2020",0,0,0,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,1829,2195,0,0,732,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,2560,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,366,0,0
"R14_2020",0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,732,0,0,0,732,0,0
"R15_2020",0,0,0,12802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,8778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17557,0,0,0,0,0,0,0,0,0,0,12070,0,0,0,0,0,0,0,0,9144,0,0,0,0,0,0
"R16_2020",0,0,0,1097,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0
"R17_2020",0,0,0,732,0,0,0,0,0,1463,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0
"R18_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,16459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
