"Sample_ID","Ablabesmyia.longistyla","Ablabesmyia.sp_","Chironomidae","Chironomini.sp_","Chironomus.acutiventris","Chironomus.annularius.cingulatus","Chironomus.lacunarius","Chironomus.nudiventris","Chironomus.plumosus","Chironomus.sp_","Chironomus.uligin_.pseudoth_.luridus","Cladopelma.sp_","Cladotanytarsus.sp_","Corynoneura.sp_","Cricotopus.albiforceps","Cricotopus.annulator","Cricotopus.bicinctus","Cricotopus.sp_","Cricotopus.sylvestris.Gr_","Cryptochironomus.sp_","Cryptotendipes.sp_","Dicrotendipes.sp_","Einfeldia.insolita.Gr_","Einfeldia.sp_","Endochironomus.albipennis","Endochironomus.sp_","Glyptotendipes.sp_","Harnischia.sp_","Microtendipes.chloris.Gr_","Orthocladiinae.sp_","Parachironomus.sp_","Polypedilum.nubeculosum","Polypedilum.sp_","Procladius.choreus","Procladius.sp_","Prodiamesa.olivacea","Psectrocladius.sordidellus","Psectrotanypus.varius","Stempellinella.brevis","Stictochironomus.sp_","Tanypodinae.sp_","Tanytarsini.sp_","Tanytarsus.aculeatus","Tanytarsus.sp_"
"990922_10_MZB",0,0,0,732,0,0,0,0,2560,0,0,0,0,0,0,0,0,0,0,366,732,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,0,0,0,0,0
"990922_16_MZB",0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32919,366,0,0,0,0,0,0,1097,0,732,1097
"990922_17_MZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,0,0,0,0,0,0,0
"990922_20_MZB",0,0,1097,3658,0,0,0,0,0,11704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,366,16459,0,0,0,0,0,0,0,0,0,0,6950
"990922_3_MZB",0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"990922_4_MZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,732
"990922_5_MZB",0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097
"990922_6_MZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,0,0,0,0,0,0,366,0,0,0,0,7315,0,1097,0,0,0,0,0,0,0,0,0
"990922_7_MZB",0,0,0,2195,0,0,0,0,0,0,0,0,366,0,0,0,366,0,0,0,0,0,0,0,0,0,0,1097,366,2195,0,0,5486,0,0,0,0,0,0,0,0,0,0,2195
"990922_8_MZB",0,0,1097,1829,0,0,0,0,0,5852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,5486,0,1097,0,0,0,0,0,0,0,0,2195
"990922_9_MZB",0,0,0,0,0,0,0,0,0,7315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"990923_26_MZB",0,0,0,2195,0,0,0,366,0,8778,0,0,1829,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,1097,5486,0,0,0,0,0,0,1463,0,1097,0,5121
"990923_28_MZB",366,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,0,0,366,0,0,0,1097
"990923_29_MZB",0,0,0,0,0,0,0,366,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,732,0,0,366,0,0,0,0,0,0,0,0,0,0,0,732
"990923_31_MZB",0,0,0,4389,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,3658
"990923_32_MZB",0,0,0,0,0,0,0,0,0,2926,0,0,366,0,366,366,0,0,0,732,0,0,0,0,366,0,0,0,0,0,0,366,18288,0,0,0,0,0,0,0,0,10973,0,8047
"990923_33_MZB",0,0,0,366,0,0,0,0,366,5852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5486,0,1097,0,0,0,0,366,366,0,0,7315
"990923_35_MZB",0,0,0,732,366,0,0,0,0,7315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,4023
"990924_36_MZB",0,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,1097,16459,0,1097,0,0,0,0,0,0,1097,0,1829
