"Sample_ID","Amphichaeta.leydigii","Aulodrilus.japonicus","Aulodrilus.limnobius","Aulodrilus.pluriseta","Branchiura.sowerbyi","Chaetogaster.cristallinus","Chaetogaster.diaphanus","Chaetogaster.diastrophus","Chaetogaster.diversisetosus","Chaetogaster.langi","Criodrilus.lacuum","Dero.digitata","Dero.obtusa","Enchytraeidae.sp_","Ilyodrilus.templetoni","Isochaetides.michaelseni","Limnodrilus.claparedeianus","Limnodrilus.hoffmeisteri","Limnodrilus.sp_","Limnodrilus.udekemianus","Lumbriculidae.sp_","Nais.barbata","Nais.bretscheri","Nais.christinae","Nais.communis","Nais.elinguis","Nais.pardalis","Nais.pseudobtusa","Nais.simplex","Nais.sp_","Nais.stolci","Nais.variabilis","Ophidonais.serpentina","Piguetiella.blanci","Potamopyrgus.antipodarum","Potamothrix.danubialis","Potamothrix.hammoniensis","Potamothrix.moldaviensis","Potamothrix.mrazeki","Potamothrix.vejdovskyi","Pristina.aequiseta","Pristina.longiseta","Pristinella.bilobata","Propappus.volki","Psammoryctides.barbatus","Psammoryctides.moravicus","Psammoryctides.sp_","Rhynchelmis.limosella","Slavina.appendiculata","Specaria.josinae","Stylaria.lacustris","Stylodrilus.brachystylus","Stylodrilus.heringianus","Trichodrilus.sp_","Tubifex.tubifex","Tubificidae","Uncinais.uncinata","Vejdovskyella.comata","Vejdovskyella.intermedia"
"R1_2020",0,0,0,0,1097,0,0,0,0,0,0,366,0,0,0,0,366,0,0,0,0,366,0,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0
"R10_2020",0,366,0,0,0,0,0,0,0,0,0,0,1097,0,2195,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,0,0,0
"R100_2020",0,0,0,0,0,0,0,0,0,0,183,549,0,1463,0,0,0,0,0,0,1646,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,2560,0,0,0
"R11_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0
"R12_2020",0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0
"R13_2020",0,0,0,0,366,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,3292,0,0,0,0,7315,0,0,0
"R14_2020",0,366,0,0,0,0,0,0,0,0,0,0,366,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,2926,0,0,0
"R15_2020",0,0,0,0,0,0,0,0,0,0,0,1097,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,2560,0,0,0
"R16_2020",0,0,0,0,0,0,0,0,0,0,0,1097,366,0,366,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,4389,0,0,0
"R17_2020",0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70227,0,0,0
"R18_2020",0,1463,0,0,4755,0,0,0,0,0,0,0,732,0,0,0,0,4389,0,0,0,0,0,0,0,0,732,0,0,0,0,0,3658,0,2195,0,0,732,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,17191,0,0,0
