"Sample_ID","Amphichaeta.leydigii","Buchholzia.appendiculata","Chaetogaster.diastrophus","Cognettia.sp_","Dero.digitata","Eiseniella.tetraedra","Enchytraeidae.sp_","Limnodrilus.claparedeianus","Limnodrilus.hoffmeisteri","Limnodrilus.udekemianus","Lumbriculidae.sp_","Lumbriculus.variegatus","Marionina.argentea","Nais.barbata","Nais.behningi","Nais.bretscheri","Nais.elinguis","Nais.pardalis","Nais.pseudobtusa","Nais.simplex","Nais.variabilis","Oligochaeta.sp_","Potamothrix.hammoniensis","Potamothrix.moldaviensis","Potamothrix.vejdovskyi","Propappus.volki","Psammoryctides.barbatus","Slavina.appendiculata","Stylaria.lacustris","Stylodrilus.heringianus","Tubifex.ignotus","Tubifex.tubifex","Tubificidae","Uncinais.uncinata","Vejdovskyella.comata","Vejdovskyella.intermedia"
"96_A21",0,0,0,0,0,0,0,0,1019,0,1019,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,6621,0,0,1019
"96_A29",0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,0,0,0,0,0,0,0,0,1019,3056,0,0,0
"96_A35",0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,2037,2546,1019,0,0,0,0,0,0,0,1019,11204,0,0,3565
"96_A36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,1019,0,0,3056,7130,0,0,0,2037,0,0,0,0,0,12733,0,0,1019
"96_A37",0,0,0,0,0,0,0,0,509,509,2037,0,0,0,0,0,0,0,2037,1019,0,0,4584,0,1019,0,0,0,0,0,0,2037,16298,0,0,1019
"96_B12a",0,0,0,0,0,0,0,0,2037,0,7639,0,0,0,0,0,2037,0,0,3565,3565,0,8658,0,0,0,2037,0,0,0,0,0,0,0,0,3565
"96_E8",0,0,0,0,0,0,0,3056,2037,0,0,0,0,0,0,0,0,0,0,0,0,3565,0,0,4074,0,0,0,0,0,3056,0,6112,0,0,0
"96_H1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,2037,0,4074,0,0,0,0,0,0,0,1019,0,0,0
"961110_A1",0,0,0,0,0,0,0,0,4584,0,0,0,0,0,0,0,0,0,0,0,0,1019,2037,0,0,0,0,0,0,0,0,1019,7640,0,0,4584
"961110_A10",0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,2037,0,0,4074,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"961110_A11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,1019,0,0,0,0,0,0,1019,0,0,0,0,1019,0
"961110_A12",0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"961110_A14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,509,0,0,0,0,0,0,0,0,509,0,0,0,1019,0,1528,2546
"961110_A15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,1019,0,0,0,0,0,0,0,0,0,1528,1019,1019,0
"961110_A16",0,0,0,0,0,0,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,1019,0
