"Sample_ID","Amphichaeta.leydigii","Buchholzia.appendiculata","Chaetogaster.diaphanus","Chaetogaster.diastrophus","Cognettia.sp_","Dero.digitata","Dorydrilus.michaelseni","Eiseniella.tetraedra","Limnodrilus.claparedeianus","Limnodrilus.hoffmeisteri","Limnodrilus.profundicola","Limnodrilus.udekemianus","Lumbricillus.lineatus","Lumbriculidae.sp_","Marionina.argentea","Nais.barbata","Nais.communis","Nais.elinguis","Nais.simplex","Nais.variabilis","Ophidonais.serpentina","Potamothrix.hammoniensis","Potamothrix.moldaviensis","Potamothrix.vejdovskyi","Pristina.foreli","Pristina.longiseta","Pristinella.bilobata","Propappus.volki","Psammoryctides.albicola","Psammoryctides.barbatus","Rhynchelmis.limosella","Slavina.appendiculata","Specaria.josinae","Stylaria.lacustris","Stylodrilus.heringianus","Tubifex.ignotus","Tubifex.tubifex","Tubificidae","Uncinais.uncinata","Vejdovskyella.comata","Vejdovskyella.intermedia"
"990922_10_MZB",0,0,732,0,0,0,0,0,0,3292,366,732,0,0,0,0,0,0,0,0,0,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,1097,21214,1097,0,0
"990922_16_MZB",0,0,4755,0,0,0,0,0,732,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,41332,2195,1097,3292
"990922_17_MZB",0,0,1463,366,0,2560,0,0,366,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,10242,0,0,0
"990922_20_MZB",0,0,4023,0,0,0,0,0,0,1829,0,366,0,0,0,0,3292,0,0,2195,0,0,0,0,0,0,0,0,0,2195,0,0,0,2195,0,0,3292,13167,0,0,0
"990922_3_MZB",0,0,0,0,0,366,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,4024,0,0,0
"990922_4_MZB",366,0,0,0,0,0,0,2560,5852,732,366,0,0,0,0,0,0,0,0,1097,0,1097,2195,732,0,0,0,0,0,12802,0,0,0,0,0,732,1829,130944,0,0,0
"990922_5_MZB",0,0,0,0,0,0,0,0,0,1097,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,21946,0,0,0
"990922_6_MZB",0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,2560,0,0,366,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,366,11704,0,0,0
"990922_7_MZB",5486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,3292,0,0,2195,0,0,0,1097,0,0,2195,0,0,0,4755,2195,0,0,9145,0,0,0
"990922_8_MZB",0,0,1829,0,0,3292,0,0,2560,1463,0,1097,0,0,0,0,6950,0,0,1097,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32919,366,366,366
"990922_9_MZB",0,0,4389,43892,0,28164,0,0,3658,9510,1097,1463,0,0,0,0,13899,0,0,0,0,0,3292,0,0,0,2195,0,0,0,0,366,0,0,0,0,5121,44989,0,0,0
"990923_26_MZB",15362,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,1097,0,0,1097,1097,0,0,0,0,0,1097,0,0,0,4023,0,0,0,10242,2195,732,1097
"990923_28_MZB",0,0,7315,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,732,0,1829,0,0,0,0,0,0,3658,0,0,0,16094,0,0,0,15362,1097,0,0
"990923_29_MZB",0,0,6218,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,0,0,0,732,0,0,366,0,0,0,732,0,732,0,12802,0,0,0
"990923_31_MZB",1097,0,1097,0,0,0,0,0,0,0,0,0,0,732,0,0,366,0,0,1097,0,0,0,0,0,0,1097,366,0,0,0,0,1463,366,366,0,0,2560,0,1097,4389
