"from","to","distance"
228,231,99.9999255394
219,221,100.000040285
225,228,100.00003671
221,225,99.9999579234
217,219,100.000033049
231,235,127.07844606
215,217,99.9999626012
239,241,65.3973872724
258,262,110.517360406
235,238,72.9215993643
213,215,99.9999983141
241,245,99.999993273
262,267,99.9999357797
238,243,100.000035919
243,247,105.41368452
210,213,144.882156631
267,271,75.5393453945
245,247,55.1179285822
255,258,91.6598142194
271,274,95.9864473326
274,277,82.5427002379
258,261,128.474206786
253,255,130.333450585
249,253,81.982349007
272,274,95.9402836077
277,280,100.000023507
261,264,69.2698550295
264,272,110.378773746
280,284,92.1433872572
251,253,54.4232353575
284,288,63.6555296335
269,265,69.4194131353
229,232,99.9999685472
288,290,62.7043535804
290,293,104.222111303
265,259,86.064126394
293,297,149.8438802
232,234,120.277671982
282,288,114.176665906
250,251,53.9170031558
226,229,100.00000613
297,300,100.319629233
287,290,88.6626635853
487,494,58.8243230063
278,282,99.999981611
234,237,79.7223700947
237,242,99.9999690226
275,278,99.9999682117
270,275,125.79247169
259,256,100.032872979
475,487,100.000042935
300,303,100.000057433
266,270,74.2075511993
246,250,99.9999612199
242,246,100.000024097
260,266,99.9999664351
303,307,99.9999270709
294,297,112.291042201
256,260,100.000031198
307,315,81.4482953473
281,285,107.372215892
315,316,8.83734897969
224,226,100.000028266
469,475,73.169187193
460,469,84.9871172827
310,315,66.7764470315
306,310,86.074906276
316,318,59.7312867158
291,294,114.648643822
302,306,99.9999321018
286,287,114.452227214
451,460,99.9999952844
299,302,100.000005939
222,224,72.4128259534
296,299,87.7089585442
305,309,92.5118277501
446,451,54.636845301
318,321,99.9999661134
314,316,91.1043800706
469,483,141.175631552
436,446,130.19668286
311,312,35.8210803362
483,492,99.1228408704
321,324,126.830868506
446,457,114.980587534
313,314,50.9125160933
457,463,99.99998193
322,324,75.2723145447
478,492,127.340395827
324,326,68.1727242696
463,478,100.00002667
320,322,60.7929427105
435,436,100.000015255
326,328,100.126047721
374,380,99.9999895033
360,363,99.9999982855
328,330,100.89974333
380,390,99.9999800538
447,456,99.9999717491
456,466,100.000059272
429,435,100.00003426
357,360,100.000005041
369,374,100.000065237
363,369,99.9932560046
330,332,99.0503628957
438,447,99.9999875814
390,394,99.9999914183
332,334,99.4984102639
430,438,109.847399549
419,429,127.391746208
466,474,99.999985641
334,336,101.721030263
493,496,99.9999235323
394,401,99.9999600956
455,459,56.8667263827
355,357,90.8116086868
419,430,95.4147794528
401,408,100.000011323
408,419,142.579527668
336,338,119.52794002
474,482,50.1143614574
482,493,126.560571268
431,434,93.3114610752
338,341,80.0047582905
341,344,100.000013591
459,465,99.9999573389
344,348,53.8626672479
422,414,94.5853133749
348,354,126.300103835
354,355,71.6572046294
354,358,65.5529457248
358,361,99.0658942563
430,426,103.913748658
361,364,94.6183272854
426,431,77.129836223
482,477,75.3906365754
364,371,105.478921827
416,426,66.6809784392
371,376,100.000003527
343,348,98.0482606236
420,426,57.5529290181
376,383,81.7227824271
465,473,100.00000786
353,358,92.8103339333
383,387,60.6222702811
387,392,69.5034239936
477,484,77.094547262
473,484,60.5381816622
411,420,99.9999939425
392,396,68.6176281865
340,343,139.266380425
405,411,99.9999550744
364,366,120.951824826
383,384,80.2816076347
351,353,90.5639373751
484,489,96.9419681332
349,352,107.199166889
485,476,63.4841408342
392,397,143.440502816
396,397,71.5960668851
486,489,51.6710488375
370,366,99.9999267841
476,470,54.9501306343
370,378,120.770541221
384,388,78.4974019802
400,405,96.5541318098
345,349,87.9418772165
481,486,70.320858055
378,382,79.04820047
347,351,141.771152395
397,402,67.3424687817
388,391,60.7854149605
377,378,61.054699677
468,481,100.000008827
391,399,141.220961524
382,386,100.000069559
386,391,66.6251500861
402,404,71.8471449687
399,404,58.2288996344
458,468,100.000056693
440,452,135.895695349
452,458,64.1042922866
404,407,61.5569737593
448,452,60.6304603877
373,377,99.9999724136
433,440,99.999986013
448,439,103.184818525
407,413,99.9999670811
368,373,100.000020285
413,424,100.000061609
424,433,99.999973516
450,448,74.8917360059
365,368,111.749325552
445,450,100.00001101
379,385,144.677861028
406,412,99.9999644997
398,406,100.000050186
385,393,100.000023636
393,398,99.999998443
412,427,114.576044153
441,445,99.9999482715
427,432,58.3846730594
432,441,99.9999975621
421,427,54.7311945821
480,491,100.00001478
415,421,66.1911573774
472,480,82.8227047399
410,415,87.960038814
247,249,70
292,291,160.294428388
295,296,148.606933889
301,305,226.597260838
304,311,237.663123829
308,313,217.541186947
317,320,230.15984163
339,345,213.915447001
342,347,184.733197145
403,410,241.507452237
464,472,187.103593314
279,281,208.425620916
283,286,169.356006189
1,2,100
2,3,100
3,4,100
4,5,100
5,6,100
6,7,100
7,8,100
8,9,100
9,10,100
10,11,100
11,12,100
12,13,100
13,14,100
14,15,100
15,16,100
16,17,100
17,18,100
18,19,100
19,20,100
20,21,100
21,22,100
22,23,100
23,24,100
24,25,100
25,26,100
26,27,100
27,28,100
28,29,100
29,30,100
30,31,100
31,32,100
32,33,100
33,34,100
34,35,100
35,36,100
36,37,100
37,38,100
38,39,100
39,40,100
40,41,100
41,42,100
42,43,100
43,44,100
44,45,100
45,46,100
46,47,100
47,48,100
48,49,100
49,50,100
50,51,100
51,52,100
52,53,100
53,54,100
54,55,100
55,56,100
56,57,100
57,58,100
58,59,100
59,60,100
60,61,100
61,62,100
62,63,100
63,64,100
64,65,100
65,66,100
66,67,100
67,68,100
68,69,100
69,70,100
70,71,100
71,72,100
72,73,100
73,74,100
74,75,100
75,76,100
76,77,100
77,78,100
78,79,100
79,80,100
80,81,100
81,82,100
82,83,100
83,84,100
84,85,100
85,86,100
86,87,100
87,88,100
88,89,100
89,90,100
90,91,100
91,92,100
92,93,100
93,94,100
94,95,100
95,96,100
96,97,100
97,98,100
98,99,100
99,100,100
100,101,100
101,102,100
102,103,100
103,104,100
104,105,100
105,106,100
106,107,100
107,108,100
108,109,100
109,110,100
110,111,100
111,112,100
112,113,100
113,114,100
114,115,100
115,116,100
116,117,100
117,118,100
118,119,100
119,120,100
120,121,100
121,122,100
122,123,100
123,124,100
124,125,100
125,126,100
126,127,100
127,128,100
128,129,100
129,130,100
130,131,100
131,132,100
132,133,100
133,134,100
134,135,100
135,136,100
136,137,100
137,138,100
138,139,100
139,140,100
140,141,100
141,142,100
142,143,100
143,144,100
144,145,100
145,146,100
146,147,100
147,148,100
148,149,100
149,150,100
150,151,100
151,152,100
152,153,100
153,154,100
154,155,100
155,156,100
156,157,100
157,158,100
158,159,100
159,160,100
160,161,100
161,162,100
162,163,100
163,164,100
164,165,100
165,166,100
166,167,100
167,168,100
168,169,100
169,170,100
170,171,100
171,172,100
172,173,100
173,174,100
174,175,100
175,176,100
176,177,100
177,178,100
178,179,100
179,180,100
180,181,100
181,182,100
182,183,100
183,184,100
184,185,100
185,186,100
186,187,100
187,188,100
188,189,100
189,190,100
190,191,100
191,192,100
192,193,100
193,194,100
194,195,100
195,196,100
196,197,100
197,198,100
198,199,100
199,200,100
200,201,100
201,202,100
202,203,100
203,204,100
204,205,100
205,206,100
206,207,100
207,208,100
208,209,100
209,211,100
211,212,100
212,214,100
214,216,100
216,218,100
218,220,100
220,223,100
223,227,100
227,230,100
230,233,100
233,236,100
236,240,100
240,244,100
244,248,100
248,252,100
252,254,100
254,257,100
257,263,100
263,268,100
268,273,100
273,276,100
276,279,100
279,283,100
283,289,100
289,292,100
292,295,100
295,298,100
298,301,100
301,304,100
304,308,100
308,317,100
317,319,100
319,323,100
323,325,100
325,327,100
327,329,100
329,331,100
331,333,100
333,335,100
335,337,100
337,339,100
339,342,100
342,346,100
346,350,100
350,356,100
356,359,100
359,362,100
362,367,100
367,372,100
372,375,100
375,381,100
381,389,100
389,395,100
395,403,100
403,409,100
409,417,100
417,428,100
428,437,100
437,444,100
444,454,100
454,464,100
464,479,100
479,488,100
462,471,132.213556249
442,443,23.9591355528
449,453,45.2895954388
461,467,59.5229497627
418,423,34.800491446
337,340,199.047065383
359,365,221.959866534
210,222,566.913753054
674,677,100.00003847
677,681,99.9999219509
681,682,62.5853073175
672,674,99.9999724729
682,684,99.9999890749
670,672,82.2939217194
664,670,62.0874312702
658,664,127.230881332
654,658,127.395307329
651,654,69.666463024
680,682,97.4749763955
647,651,100.000019673
644,647,99.9999779634
684,686,99.9999645491
640,644,100.000005886
669,670,104.52686782400001
637,640,100.000081812
678,680,99.9999617609
634,637,99.9999841939
659,658,99.680352743
631,634,99.9999732358
686,688,117.706099921
628,631,99.9999963687
653,654,118.737773758
625,628,99.9999963699
675,678,127.581926035
649,653,73.7198964079
624,625,51.7433282181
668,669,59.7932222433
621,624,60.9386574021
616,621,94.6157836231
609,616,100.000012437
604,609,85.8232968612
667,668,70.5448226374
601,604,70.9481811423
595,601,99.9999743344
662,659,99.9999559822
588,595,99.9999807162
541,550,100.00005542
581,588,100.000050672
535,541,99.9999521154
550,558,99.9999786412
528,535,99.9999879474
558,568,130.873584872
575,581,81.563543583
522,528,100.000013641
568,575,100.177675055
506,510,62.992050689
665,663,96.7837774563
516,522,100.000054956
660,662,50.1587671503
619,624,141.064827589
494,506,118.551738386
603,604,73.584978527
560,568,124.60932529
567,575,135.882447041
509,516,99.9999830937
552,560,100.000074229
544,552,100.00001974
614,619,99.9999919175
